Year,Total_Cross_Border_Workers,From_France,From_Belgium,From_Germany,Pct_of_Total_Workforce
2008,130000,62000,30000,38000,38.2
2010,140000,67000,32000,41000,39.1
2012,150000,72000,34000,44000,40.0
2014,160000,77000,36000,47000,41.2
2016,170000,82000,38000,50000,42.1
2018,185000,90000,41000,54000,43.5
2019,193000,95000,42000,56000,44.0
2020,178000,87000,39000,52000,41.2
2021,188000,92000,41000,55000,42.8
2022,200000,98000,44000,58000,44.5
2023,210000,103000,46000,61000,45.5
2025,220000,108000,48000,64000,46.8
