Nationality,Population,Percentage,EU_Member,Primary_Arrival_Era
Portugal,89671,28.6,Yes,1960s-1970s
France,49185,15.7,Yes,1990s-2000s
Italy,25374,8.1,Yes,1960s-1980s
Belgium,19000,6.1,Yes,1980s-1990s
Germany,11500,3.7,Yes,1990s-2000s
Romania,8200,2.6,Yes,2000s-2010s
Netherlands,6100,1.9,Yes,1990s-2010s
Spain,5800,1.9,Yes,2010s
Poland,4900,1.6,Yes,2000s-2010s
United Kingdom,4200,1.3,No,1990s-2000s
Cape Verde,3800,1.2,No,1980s-1990s
Montenegro,2900,0.9,No,2000s-2010s
India,2400,0.8,No,2010s-2020s
United States,1900,0.6,No,2000s-2020s
China,1600,0.5,No,2010s-2020s
Other,76771,24.5,Mixed,Various
