Year,Total_Population,Natural_Increase,Net_Migration,Growth_From_Migration_Pct,Births,Deaths
2008,493500,2100,10200,82.9,5400,3300
2010,512400,2300,11800,83.7,5600,3300
2012,537000,2400,12900,84.3,5800,3400
2014,562958,2500,13400,84.3,5900,3400
2016,590321,2600,14100,84.4,6000,3400
2018,613894,2700,15200,84.9,6100,3400
2019,626108,2750,16800,85.9,6200,3450
2020,634730,2600,8900,77.4,6000,3400
2021,645397,2650,11500,81.3,6100,3450
2022,660809,2700,17000,86.3,6200,3500
2023,672050,2750,12200,81.6,6300,3550
2025,661200,2800,14100,83.4,6400,3600
